unit_id,row,col,area_ha,aml_count,severity_sum,severity_mean,unfunded_cost_sum,dist_water_m,water_km,slope_deg_mean,risk_index,water_priority,restoration_cost_proxy,benefit_proxy,priority_score,candidate
84,8,7,400.0,0.0,0.0,0.0,0.0,80.35136396647937,6.98840824887048,14.354409904507866,0.4138456764005947,7.371639652502202,400.0,4.099665502651695,2.0498327513258476,1
85,8,8,400.0,0.0,0.0,0.0,0.0,99.1132359273202,5.543577693436404,14.161548701019498,0.4070969881222678,5.92612669176927,400.0,3.370160334006903,1.6850801670034514,1
86,8,9,400.0,0.0,0.0,0.0,0.0,100.75561813539484,5.909350919695791,14.44650251474994,0.4103611621866214,6.24711702768947,400.0,3.5339196760313563,1.766959838015678,1
87,8,10,400.0,0.0,0.0,0.0,0.0,151.09336563471282,5.903801870885721,12.100741477223975,0.3693350028113041,5.935663937777395,400.0,3.3371669717000016,1.6685834858500008,1
88,8,11,400.0,0.0,0.0,0.0,0.0,15.1095001371137,5.349833914811413,13.006205780900013,0.4121969692645326,6.2546122855756705,400.0,3.539503112052368,1.769751556026184,1
89,8,12,400.0,0.0,0.0,0.0,0.0,300.356667237152,5.509621255178987,14.383113436095895,0.3686524014210631,4.820726333768643,400.0,2.7790155683053843,1.3895077841526922,1
90,8,13,400.0,0.0,0.0,0.0,0.0,244.1642910835199,7.363296126555219,15.99241086980973,0.3998866196672678,6.551462661513269,400.0,3.675617950423902,1.837808975211951,1
91,8,14,400.0,0.0,0.0,0.0,0.0,303.2923258048281,5.7523259832700555,14.75984244684727,0.3729163737659334,4.985804177373175,400.0,2.8658184624525207,1.4329092312262603,1
92,8,15,400.0,0.0,0.0,0.0,0.0,397.2179255815766,7.808906712886556,15.209315464932503,0.362102268698643,5.921237182026403,400.0,3.3227208597118447,1.6613604298559224,1
93,8,16,400.0,0.0,0.0,0.0,0.0,186.6519350736607,6.15065032886362,14.766634541732524,0.3958403516241534,5.933126880373664,400.0,3.3624037918109857,1.6812018959054928,1
94,8,17,400.0,0.0,0.0,0.0,0.0,298.8855412331372,3.2691636172440957,12.780039197850426,0.3484713679799563,3.1662008294884423,400.0,1.9315717827241776,0.9657858913620888,1
95,8,18,400.0,0.0,0.0,0.0,0.0,281.6569928108114,6.012358869579763,15.056161235996155,0.3807344084388501,5.2910523195892365,400.0,3.0262605682334685,1.5131302841167342,1
96,8,19,400.0,0.0,0.0,0.0,0.0,486.99137527360426,4.147533239340926,13.49094492022754,0.3257488116413522,3.1630167565981515,400.0,1.907257189940428,0.953628594970214,1
97,8,20,400.0,0.0,0.0,0.0,0.0,26.063285542432943,5.078719974062633,14.993151602817704,0.4348657146467401,5.922335360569142,400.0,3.3960333949313113,1.6980166974656556,1
98,8,21,400.0,0.0,0.0,0.0,0.0,253.29097580110025,2.9495370842908715,12.922858112911037,0.3589430142651575,3.0657964916351133,400.0,1.891841260082714,0.9459206300413572,1
99,8,22,400.0,0.0,0.0,0.0,0.0,383.8085943667705,3.6574106127472934,14.103846263687366,0.3502661789498716,3.1729159934987012,400.0,1.9367241756992224,0.9683620878496112,1
100,8,23,400.0,0.0,0.0,0.0,0.0,237.18261227272137,4.045548568563379,14.435004459835632,0.3813877729463915,3.98016697016216,400.0,2.3714712580274715,1.1857356290137355,1
101,8,24,114.59857396271693,0.0,0.0,0.0,0.0,93.91365464849908,1.0974988412595506,11.436701418115543,0.3735110129336396,1.909481906787093,114.59857396271693,1.328251966327186,1.0324567797371462,1
102,9,5,300.2320199735243,0.0,0.0,0.0,0.0,69.45699339782317,5.706864706717198,13.970245111135789,0.4114711745344194,6.256835784361702,300.2320199735243,3.5398890667152707,2.022123505205668,1
103,9,6,400.0,0.0,0.0,0.0,0.0,222.0261945172477,5.066347334790971,13.70036685841474,0.3750263355703521,4.858503518003647,400.0,2.8042780945721755,1.4021390472860875,1
104,9,7,400.0,0.0,0.0,0.0,0.0,31.748746556356217,5.230062425925854,14.01788114728751,0.4210413868486959,6.035372683958568,400.0,3.43872772882798,1.71936386441399,1
105,9,8,400.0,0.0,0.0,0.0,0.0,57.73152146189652,6.225238360212151,13.563696423120666,0.4090347964422673,6.819926556973894,400.0,3.8189980749292145,1.9094990374646073,1
106,9,9,400.0,0.0,0.0,0.0,0.0,196.0063902437023,1.2788325189438046,13.127457729276315,0.372994747292187,1.873216241007784,400.0,1.309602867796079,0.6548014338980395,1
107,9,10,400.0,0.0,0.0,0.0,0.0,315.10499994838426,7.569789875118212,14.184163450497634,0.3634035541330837,6.253480656065286,400.0,3.490143882165727,1.7450719410828637,1
108,9,11,400.0,0.0,0.0,0.0,0.0,180.9467719886425,6.269145577576801,14.004293558590206,0.3873004785306627,6.065954967564174,400.0,3.42027796231275,1.710138981156375,1
109,9,12,400.0,0.0,0.0,0.0,0.0,107.28118731613304,6.992163483523042,16.843341181123698,0.4394721569346439,7.179145104296231,400.0,4.0290447090827595,2.0145223545413797,1
110,9,13,400.0,0.0,0.0,0.0,0.0,102.10649130690209,7.378332504064261,16.4290642651201,0.435351489440292,7.565076187130934,400.0,4.217889583005759,2.1089447915028794,1
111,9,14,400.0,0.0,0.0,0.0,0.0,213.39820872576485,7.23113299274347,15.27047018761988,0.3967942566387443,6.649392271039715,400.0,3.721490392158602,1.860745196079301,1
112,9,15,400.0,0.0,0.0,0.0,0.0,58.99043030435687,6.529874299050889,15.747948380764464,0.4366067435308638,7.098531403077348,400.0,3.9858724450695378,1.9929362225347689,1
113,9,16,400.0,0.0,0.0,0.0,0.0,58.20434278743858,5.215977871653281,16.782247895259918,0.4499886899244759,5.864508699351859,400.0,3.3822430396004055,1.6911215198002028,1
114,9,17,400.0,0.0,0.0,0.0,0.0,72.54598726224934,4.631449750514802,16.499269090287868,0.4430196276860445,5.237377658794332,400.0,3.0617084570832107,1.5308542285416054,1
115,9,18,400.0,0.0,0.0,0.0,0.0,372.44333374757974,2.828004896686413,14.1864759841083,0.3532671711489753,2.637681783334703,400.0,1.672108062816327,0.8360540314081635,1
